id,active_regular_employees
333,7
537,3
626,2
675,3
799,2
866,2
887,2
1012,2
1078,2
1478,5
2110,7
2303,2
2970,2
3290,2
3671,2
4058,2
4720,1
5046,2
5137,2
5654,2
6312,1
6794,2
7984,4
8129,2
9006,3
9592,10
10224,3
10591,2
11489,4
11590,4
11768,3
13847,1
14720,3
17736,6
20078,10
22783,2
24515,3
25693,2
205,2
328,3
2236,7
26729,3
31465,3
2576,1
2675,2
3066,4
32654,5
3224,6
3731,1
4201,4
4584,5
5057,4
5725,2
33408,9
35769,2
35907,4
36052,10
6285,1
6477,1
6772,4
7217,8
7256,3
7712,8
7751,2
8930,9
12184,2
12348,2
37223,3
37489,1
38131,4
12608,1
38178,2
39092,2
39381,3
39508,1
39977,1
40448,5
13308,1
16549,2
41682,2
42111,5
16670,3
166,2
312,4
571,2
641,5
1007,1
1476,5
1485,2
1496,7
152,2
700,5
852,2
919,2
1256,1
42903,3
43133,1
43296,1
43772,2
2305,2
2598,2
2617,4
2754,3
2839,3
2076,1
44462,4
44617,4
44895,2
45522,1
45555,3
89,6
550,2
860,2
3829,1
4165,2
4253,2
4296,8
2817,5
2867,7
45798,5
46004,2
46145,3
5635,1
3733,2
1592,3
1594,3
1785,4
2354,7
2384,6
6480,5
7255,3
7370,4
5242,3
5261,2
5826,2
6026,2
6765,5
7132,2
8850,4
9961,3
7350,3
7970,1
20043,2
20474,1
22742,2
11256,1
11267,9
11896,3
12199,9
12259,2
11146,6
13009,2
12143,8
12364,2
25279,9
13559,1
12951,9
14102,6
29519,1
29952,4
14941,1
15277,8
15324,10
14194,3
15641,1
15919,4
16861,6
2503,1
2968,2
3469,2
18112,2
19179,2
19174,3
19404,2
19577,2
19773,7
3598,4
3698,3
4099,1
4250,6
4310,6
4569,2
31701,8
32574,2
223,4
443,5
910,2
1118,2
1352,6
2055,2
21045,3
24765,2
34653,5
34658,3
34674,4
4901,2
4918,8
4994,1
5681,1
25961,1
26480,5
27871,3
6251,2
6352,2
6394,3
299,4
344,2
351,2
395,2
607,2
660,5
672,3
806,2
933,2
995,3
34981,2
36479,5
36687,2
29552,4
30246,2
30296,1
30971,6
8284,7
37615,1
37970,2
38918,6
39482,2
39650,1
1079,4
1858,4
2699,5
2811,2
3260,2
31421,8
32243,1
32573,4
32582,2
33666,8
34061,2
3330,2
3611,2
4360,2
41336,2
41466,4
34255,2
34536,4
34640,7
34645,5
34974,5
237,2
260,2
927,2
1107,2
1740,4
1895,5
2010,2
2165,8
10988,10
11630,10
220,2
285,2
499,3
536,9
617,7
720,7
1226,2
1277,1
35300,7
35305,3
35765,2
37671,8
2993,2
3159,10
3211,4
5017,2
5037,4
5045,1
5062,1
20768,3
21733,2
21822,2
23566,9
1487,2
1529,2
1976,7
